driveline,hybrid,city.mpg,fuel.type,highway.mpg,class,make,year,horsepower,torque
All-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Audi,2009,250,236
Front-wheel drive,TRUE,22,Gasoline,28,Automatic transmission,Audi,2009,200,207
Front-wheel drive,TRUE,21,Gasoline,30,Manual transmission,Audi,2009,200,207
All-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Audi,2009,200,207
All-wheel drive,TRUE,21,Gasoline,28,Automatic transmission,Audi,2009,200,207
All-wheel drive,TRUE,16,Gasoline,27,Manual transmission,Audi,2009,265,243
All-wheel drive,TRUE,17,Gasoline,26,Automatic transmission,Audi,2009,265,243
All-wheel drive,TRUE,13,Gasoline,18,Automatic transmission,Audi,2009,350,325
All-wheel drive,TRUE,14,Gasoline,20,Automatic transmission,Audi,2009,280,266
All-wheel drive,TRUE,22,Gasoline,30,Manual transmission,Audi,2009,211,258
All-wheel drive,TRUE,21,Gasoline,27,Automatic transmission,Audi,2009,211,258
All-wheel drive,TRUE,17,Gasoline,26,Automatic transmission,Audi,2009,265,243
Front-wheel drive,TRUE,20,Gasoline,29,Automatic transmission,Acura,2012,280,254
All-wheel drive,TRUE,18,Gasoline,26,Automatic transmission,Acura,2012,305,273
All-wheel drive,TRUE,12,Gasoline,17,Automatic transmission,BMW,2010,555,500
All-wheel drive,TRUE,12,Gasoline,17,Automatic transmission,BMW,2011,555,500
All-wheel drive,TRUE,12,Gasoline,17,Automatic transmission,BMW,2010,555,500
All-wheel drive,TRUE,12,Gasoline,17,Automatic transmission,BMW,2011,555,500
Rear-wheel drive,TRUE,18,Gasoline,25,Manual transmission,Chevrolet,2012,185,190
Rear-wheel drive,TRUE,18,Gasoline,25,Manual transmission,Chevrolet,2012,185,190
Rear-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Chevrolet,2012,185,190
Rear-wheel drive,TRUE,18,Gasoline,25,Manual transmission,Chevrolet,2011,185,190
Rear-wheel drive,TRUE,18,Gasoline,25,Manual transmission,Chevrolet,2011,185,190
Rear-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Chevrolet,2011,185,190
Rear-wheel drive,TRUE,18,Gasoline,25,Manual transmission,Chevrolet,2010,185,190
Rear-wheel drive,TRUE,20,Gasoline,26,Manual transmission,Chevrolet,2010,185,190
Rear-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Chevrolet,2010,185,190
Rear-wheel drive,TRUE,13,Gasoline,18,Automatic transmission,Chevrolet,2012,310,334
All-wheel drive,TRUE,9,E85,12,Automatic transmission,Chevrolet,2012,310,334
Rear-wheel drive,TRUE,13,Gasoline,17,Automatic transmission,Chevrolet,2011,310,334
All-wheel drive,TRUE,13,Gasoline,17,Automatic transmission,Chevrolet,2011,310,334
Rear-wheel drive,TRUE,8,E85,12,Automatic transmission,Chevrolet,2011,280,295
Rear-wheel drive,TRUE,8,E85,12,Automatic transmission,Chevrolet,2011,324,373
Rear-wheel drive,TRUE,10,E85,13,Automatic transmission,Chevrolet,2010,310,334
All-wheel drive,TRUE,13,Gasoline,17,Automatic transmission,Chevrolet,2010,310,334
Rear-wheel drive,TRUE,15,Gasoline,20,Automatic transmission,Chevrolet,2011,195,260
Rear-wheel drive,TRUE,14,Gasoline,19,Automatic transmission,Chevrolet,2011,302,305
Rear-wheel drive,TRUE,15,Gasoline,20,Automatic transmission,Chevrolet,2011,195,260
Rear-wheel drive,TRUE,15,Gasoline,20,Automatic transmission,Chevrolet,2010,195,260
Rear-wheel drive,TRUE,15,Gasoline,20,Automatic transmission,Chevrolet,2010,195,260
Rear-wheel drive,TRUE,14,Gasoline,19,Automatic transmission,Chevrolet,2010,302,305
Rear-wheel drive,TRUE,18,Gasoline,26,Manual transmission,Nissan,2011,350,276
Rear-wheel drive,TRUE,18,Gasoline,26,Manual transmission,Nissan,2010,350,276
Rear-wheel drive,TRUE,18,Gasoline,26,Manual transmission,Nissan,2009,350,276
Front-wheel drive,TRUE,21,Gasoline,29,Manual transmission,Volvo,2011,227,236
Front-wheel drive,TRUE,21,Gasoline,30,Automatic transmission,Volvo,2011,227,236
Front-wheel drive,TRUE,21,Gasoline,30,Automatic transmission,Volvo,2010,227,236
Front-wheel drive,TRUE,21,Gasoline,29,Manual transmission,Volvo,2010,227,236
Rear-wheel drive,TRUE,9,Gasoline,15,Automatic transmission,Bentley,2010,530,774
All-wheel drive,TRUE,8,E85,14,Automatic transmission,Bentley,2012,621,590
All-wheel drive,TRUE,8,E85,14,Automatic transmission,Bentley,2012,621,590
All-wheel drive,TRUE,8,E85,14,Automatic transmission,Bentley,2011,621,590
All-wheel drive,TRUE,12,Gasoline,19,Automatic transmission,Bentley,2010,621,590
All-wheel drive,TRUE,8,E85,13,Automatic transmission,Bentley,2012,552,479
All-wheel drive,TRUE,11,Gasoline,19,Automatic transmission,Bentley,2012,600,553
All-wheel drive,TRUE,10,Gasoline,17,Automatic transmission,Bentley,2011,600,553
All-wheel drive,TRUE,10,Gasoline,17,Automatic transmission,Bentley,2010,600,553
All-wheel drive,TRUE,10,Gasoline,17,Automatic transmission,Bentley,2010,552,479
Front-wheel drive,TRUE,19,Gasoline,28,Automatic transmission,Volvo,2011,227,236
Front-wheel drive,TRUE,20,Gasoline,28,Manual transmission,Volvo,2010,227,236
Front-wheel drive,TRUE,19,Gasoline,28,Automatic transmission,Volvo,2010,227,236
Front-wheel drive,TRUE,21,Gasoline,29,Manual transmission,Volvo,2010,168,170
Front-wheel drive,TRUE,21,Gasoline,30,Automatic transmission,Volvo,2010,227,236
Front-wheel drive,TRUE,21,Gasoline,30,Automatic transmission,Volvo,2011,227,236
All-wheel drive,TRUE,20,Gasoline,27,Manual transmission,Volvo,2010,227,236
Front-wheel drive,TRUE,20,Gasoline,30,Automatic transmission,Volvo,2012,250,266
All-wheel drive,TRUE,18,Gasoline,26,Automatic transmission,Volvo,2012,300,325
All-wheel drive,TRUE,18,Gasoline,26,Automatic transmission,Volvo,2012,325,354
