countyFIPS,CountyName,State,StateFIPS,Area,Total_cases,Total_deaths,pop,age,income,PercCollege,PercVets,PercHealth,per_gop,per_dem,Unemployment_rate,HighMaskUsage,Corn,Soy,Vegetables,officers_killed_by_felony,officers_assaulted,violent_crime,property_crime
01001,Autauga County,AL,01,594.4437,2267,30,55380,38.2,58731,23.6006,9.5197,98.5049,0.7144,0.2702,3.4,0.739,645,1206,1208,0,6,1431,1664
01003,Baldwin County,AL,01,1589.8226,7188,83,212830,43,58320,29.3305,9.2388,98.8136,0.7617,0.2241,3.7,0.759,6658,11733,1652,0,14,2923,4651
01005,Barbour County,AL,01,885.008,1092,9,25361,40.4,32525,13.3039,5.2364,88.6203,0.5345,0.4579,5.6,0.692,1065,1335,61,0,1,660,678
01007,Bibb County,AL,01,622.4613,924,16,22493,40.9,47542,12.7462,6.3709,91.7263,0.7843,0.207,4.4,0.85,827,1623,5,0,2,374,526
01009,Blount County,AL,01,644.8307,2286,26,57681,40.7,49358,17.6765,5.924,99.1956,0.8957,0.0957,2.6,0.653,301,2271,578,0,3,1202,1152
01011,Bullock County,AL,01,622.8121,663,17,10248,40.2,37785,11.4559,2.6054,96.2627,0.2484,0.747,4.5,0.786,1292,270,60,0,0,240,190
01013,Butler County,AL,01,776.8385,1046,41,19828,40.8,40688,16.3758,5.0989,98.5374,0.5753,0.4179,5.9,0.5880000000000001,2882,NA,172,0,1,586,578
01015,Calhoun County,AL,01,605.8697,5153,67,114618,39.6,47255,18.4037,8.4289,98.461,0.6885,0.2985,4.7,0.609,416,2529,90,0,262,2883,3499
01017,Chambers County,AL,01,596.5609,1483,48,33660,42,42289,15.9893,6.2448,98.7879,0.5727,0.4164,4.3,0.6960000000000001,144,NA,62,0,4,1103,1254
01019,Cherokee County,AL,01,553.5251,836,15,25903,46.5,41919,15.4113,7.2694,98.9692,0.8603,0.132,2.6,0.678,4486,8099,35,0,1,525,643
01021,Chilton County,AL,01,692.8515,2001,35,44055,38.7,47468,14.0415,5.7723,99.2532,0.833,0.1591,3.1,0.812,486,903,503,0,6,1039,1233
01023,Choctaw County,AL,01,913.4675,407,12,12925,46.3,35892,16.5493,6.8781,99.0019,0.5756,0.4189,4.2,0.7869999999999999,NA,NA,21,0,1,192,231
01025,Clarke County,AL,01,1238.4204,1435,18,24128,42.5,37404,14.0542,4.8657,98.7483,0.5576,0.4381,6.1,0.698,85,NA,40,0,3,591,465
01027,Clay County,AL,01,603.961,812,13,13337,43.3,40845,14.2461,4.7387,98.1555,0.8082,0.1828,2.8,0.498,NA,NA,28,0,1,210,113
01029,Cleburne County,AL,01,560.1044,622,11,14916,43.1,44741,14.8431,4.6728,98.7932,0.8972,0.0934,2.6,0.585,492,NA,31,0,1,141,157
01031,Coffee County,AL,01,678.9861,1970,12,51662,39.3,55637,23.6576,12.1656,96.8391,0.7587,0.2279,2.8,0.652,2317,1048,101,0,2,1077,1070
01033,Colbert County,AL,01,592.7449,2450,33,54771,42.4,48065,18.3528,7.0165,99.151,0.6886,0.2992,4,0.669,22148,27046,45,0,9,1409,1577
01035,Conecuh County,AL,01,850.2,604,13,12394,44.8,37837,14.6442,4.6393,99.6369,0.5344,0.4605,4.9,0.591,1367,175,54,0,1,334,208
01037,Coosa County,AL,01,650.9106,235,3,10757,48.4,38990,14.4371,8.6548,96.1978,0.6627,0.3278,3.5,0.647,22,NA,7,0,0,202,222
01039,Covington County,AL,01,1030.5585,1941,32,37200,43.3,42189,17.7016,7.7903,98.5134,0.8368,0.1561,3,0.5569999999999999,2246,1195,80,0,7,823,741
01041,Crenshaw County,AL,01,608.8649,641,30,13844,41.7,43163,16.3248,5.1214,98.317,0.7351,0.2569,3.3,0.649,1481,101,23,0,1,160,161
01043,Cullman County,AL,01,734.7411,3140,27,82853,40.8,44918,17.3162,6.2158,98.9451,0.8812,0.107,2.4,0.596,4283,9014,1266,0,2,1291,1750
01045,Dale County,AL,01,561.1009,2027,54,49277,37.3,47214,19.1306,11.756,93.9241,0.7246,0.2619,3.4,0.68,1925,882,28,0,4,1337,1316
01047,Dallas County,AL,01,978.7379,1981,27,39149,39.6,33845,17.275,4.6157,99.3103,0.3092,0.6846,7.5,0.646,13876,6261,372,0,1,1752,1720
01049,DeKalb County,AL,01,777.0987,3857,32,71310,39.5,40440,15.0358,4.7427,98.8908,0.8437,0.1458,2.5,0.7589999999999999,13662,15418,967,0,22,1660,1808
01051,Elmore County,AL,01,618.4464,3438,59,81144,38.7,60891,23.8551,8.1263,93.8948,0.7352,0.2527,3.3,0.737,2487,726,136,0,2,1732,2018
01053,Escambia County,AL,01,945.2225,1823,31,37057,40,36275,13.8462,5.7155,92.2633,0.6832,0.3091,3.9,0.6719999999999999,2614,2887,35,0,5,825,1135
01055,Etowah County,AL,01,535.0881,4853,58,102748,41.4,44637,18.8296,6.6152,99.2311,0.7444,0.2424,4.6,0.623,1068,2397,378,0,280,2843,3826
01057,Fayette County,AL,01,627.6837,658,15,16494,43.7,39856,13.5989,6.5903,98.8178,0.8328,0.1591,3.2,0.662,720,871,62,0,3,294,307
01059,Franklin County,AL,01,633.9185,2245,33,31466,38.6,43514,14.7937,4.2268,99.358,0.8249,0.1658,2.5,0.64,1101,1919,34,0,13,637,754
01061,Geneva County,AL,01,574.4805,1016,8,26417,43.2,41732,16.0048,9.0169,98.9628,0.8647,0.1271,2.9,0.603,4009,1784,616,0,9,646,590
01063,Greene County,AL,01,647.0231,358,17,8324,40.9,24145,11.3767,5.4901,99.3393,0.1832,0.8134,7.5,0.79,34,NA,73,0,2,206,202
01065,Hale County,AL,01,643.9866,823,30,14809,40.5,34046,14.5317,5.4629,98.4671,0.4027,0.5916,6.6,0.8300000000000001,NA,NA,64,0,0,70,76
01067,Henry County,AL,01,561.7503,776,6,17133,44.4,50017,18.5198,7.2784,98.1323,0.7106,0.2803,3.6,0.696,4819,817,31,0,9,328,237
01069,Houston County,AL,01,579.8558,4472,36,104702,40.1,47580,21.628,7.5347,99.1146,0.7064,0.2798,4.1,0.7010000000000001,1762,2018,7132,0,17,3345,3451
01071,Jackson County,AL,01,1077.9872,2465,22,51852,43.1,41769,16.821,5.346,99.0357,0.8322,0.1573,3,0.7090000000000001,19535,26270,482,0,151,675,1024
01073,Jefferson County,AL,01,1111.4152,25627,403,659680,37.7,53901,28.6019,5.5768,98.9703,0.4261,0.5576,4.5,0.8069999999999999,114,NA,93,0,37,18189,23924
01075,Lamar County,AL,01,604.8463,553,7,13885,44.8,38364,14.7065,5.4519,98.8117,0.8583,0.136,2.7,0.716,NA,1357,35,0,5,114,149
01077,Lauderdale County,AL,01,668.0131,2911,47,92556,41,48094,20.8728,6.4847,99.0255,0.7154,0.2687,3.3,0.6479999999999999,15885,25907,93,0,17,1228,2096
01079,Lawrence County,AL,01,690.6843,995,35,33058,42.4,44886,14.2023,4.6373,99.1984,0.7686,0.2222,3.2,0.6699999999999999,22925,36778,49,0,4,594,532
01081,Lee County,AL,01,607.5374,6878,64,161152,31.9,51463,26.7989,6.1743,99.2312,0.5909,0.3899,3.4,0.7450000000000001,210,NA,38,0,12,3886,4182
01083,Limestone County,AL,01,559.9554,3311,37,94727,39.7,59686,23.5878,7.567,96.8393,0.7036,0.2777,2.7,0.7310000000000001,16886,58679,150,0,8,835,1783
01085,Lowndes County,AL,01,715.9112,745,29,10079,42,30036,16.4997,2.9765,98.988,0.2686,0.7274,10.7,0.663,1630,1107,47,0,1,290,357
01087,Macon County,AL,01,608.8274,598,20,18708,38.6,33370,17.7464,7.1894,98.6156,0.1767,0.8149,6.7,0.7170000000000001,NA,633,124,0,9,482,629
01089,Madison County,AL,01,801.5913,10284,105,362276,38.5,65449,34.803,9.0575,98.5304,0.5277,0.4482,3.2,0.766,25499,39569,100,0,312,10066,12445
01091,Marengo County,AL,01,976.8926,1090,23,19321,42.2,33241,16.9712,4.8962,98.8458,0.4902,0.5035,4.5,0.698,1800,1317,106,0,0,531,518
01093,Marion County,AL,01,742.3421,1203,31,29866,44.3,35930,15.6566,4.6374,98.4397,0.884,0.106,2.9,0.5599999999999999,1197,3670,15,0,2,556,638
01095,Marshall County,AL,01,565.845,4809,53,95643,38.8,45983,18.7384,6.173,99.1238,0.837,0.1499,2.5,0.732,3966,5775,65,0,41,1797,2608
01097,Mobile County,AL,01,1229.4104,17729,327,414114,37.9,47583,20.9681,6.8051,98.6658,0.5527,0.4339,5.8,0.75,NA,2517,382,1,47,13198,18813
01099,Monroe County,AL,01,1025.6687,691,10,21270,43.3,30441,15.0306,6.2811,98.8858,0.5762,0.4176,5.5,0.6659999999999999,1317,588,78,0,0,342,315
01101,Montgomery County,AL,01,785.3387,11080,219,226941,36.4,50124,26.7814,7.3446,97.7399,0.336,0.6509,6.1,0.725,1051,2086,15,0,2,5266,9203
01103,Morgan County,AL,01,579.5999,4818,40,119213,40.6,52156,21.5958,6.2619,98.47,0.7383,0.2463,3.1,0.763,1920,7178,99,0,2,2050,2969
01105,Perry County,AL,01,719.6561,618,6,9293,36.9,23447,16.464,4.3581,98.2998,0.256,0.738,8,0.8049999999999999,6683,10258,70,0,2,329,290
01107,Pickens County,AL,01,881.3454,991,18,20243,42.2,39848,15.3436,5.9379,91.691,0.5786,0.416,4.5,0.741,3058,2679,27,0,1,152,130
01109,Pike County,AL,01,672.0678,1425,14,33333,31.2,37446,16.1372,5.7511,99.397,0.581,0.4072,3.2,0.663,2140,2247,194,0,1,1341,1188
