Region,State
Northeast,CT
Northeast,ME
Northeast,MA
Northeast,NH
Northeast,RI
Northeast,VT
Northeast,NJ
Northeast,NY
Northeast,PA
Midwest,IL
Midwest,IN
Midwest,MI
Midwest,OH
Midwest,WI
Midwest,IA
Midwest,KS
Midwest,MN
Midwest,MO
Midwest,NE
Midwest,ND
Midwest,SD
South,DE
South,FL
South,GA
South,MD
South,NC
South,SC
South,DC
South,VA
South,WV
South,AL
South,KY
South,MS
South,TN
South,AR
South,LA
South,OK
South,TX
West,AZ
West,CO
West,ID
West,MT
West,NV
West,NM
West,UT
West,WY
West,AK
West,CA
West,HI
West,OR
West,WA
