Season,Holiday,Temperature,Humidity,Wind_speed,Visibility,Dew_point,Solar_radiation,Rainfall,Snowfall,Rented_bikes
Autumn,No Holiday,19.3,77,1.0333333333333332,1171.6666666666667,15,0.5866666666666667,0,0,4948
Spring,No Holiday,1.7000000000000002,74,1.2,473,-2.433333333333333,0.13666666666666666,0,0,929
Spring,No Holiday,12.333333333333334,49.333333333333336,0.8,1491,1.7333333333333334,0.8833333333333333,0,0,1508
Summer,No Holiday,24.366666666666667,75.33333333333333,2.1,1211.3333333333333,19.666666666666668,0.5,0,0,2019
Summer,No Holiday,28.066666666666666,60.333333333333336,0.8,1838.3333333333333,19.533333333333335,1.0366666666666666,0,0,1363
Summer,No Holiday,25.1,96.66666666666667,0.5666666666666667,373.3333333333333,24.466666666666665,0.24666666666666667,0.16666666666666666,0,1764
Autumn,No Holiday,5.266666666666667,68,0.8333333333333334,1334,-0.3,0.30333333333333334,0,0,3957
Spring,No Holiday,-5.8,43.666666666666664,0.7,1579.3333333333333,-16.366666666666667,0.3466666666666667,0,0,1361
Winter,No Holiday,-7.866666666666667,66.33333333333333,2.666666666666667,1844.3333333333333,-13.033333333333333,0.043333333333333335,0,0.7,770
Spring,No Holiday,9.8,60,0.7,497.3333333333333,2.2333333333333334,0.37,0,0,2605
Summer,No Holiday,26.3,68.66666666666667,0.8,1714,20,0.9333333333333333,0,0,4293
Spring,No Holiday,11.9,58.666666666666664,1.3333333333333335,668.3333333333334,3.7666666666666666,0.5133333333333333,0,0,2925
Spring,No Holiday,9.9,38.666666666666664,0.9,1164.3333333333333,-3.8,0.8233333333333334,0,0,590
Autumn,No Holiday,1.1333333333333333,40.666666666666664,1.0666666666666667,1349,-10.733333333333334,0.11,0,0,3260
Summer,No Holiday,19.666666666666668,97,1.3666666666666667,225,19.133333333333333,0.23333333333333334,0,0,4317
Winter,No Holiday,0.39999999999999997,75.66666666666667,2.7333333333333334,310,-3.4333333333333336,0.23666666666666666,0,0,564
Winter,No Holiday,-9.266666666666666,62.333333333333336,0.9333333333333333,1497.6666666666667,-15.133333333333333,0.14,0,0,1032
Winter,No Holiday,1.4,67.33333333333333,0.6666666666666666,410.3333333333333,-3.933333333333333,0.02,0,0,1344
Summer,No Holiday,18.866666666666667,66,1.3333333333333333,2000,12.3,0.22000000000000003,0,0,1718
Spring,No Holiday,17.8,53,0.7666666666666667,1033.3333333333333,7.833333333333333,1.16,0,0,2258
Summer,No Holiday,22.03333333333333,63.333333333333336,1.2666666666666666,1063.3333333333333,14.533333333333333,1.0833333333333333,0,0,2681
Summer,No Holiday,20.6,52,0.9333333333333333,958,10.2,1.2033333333333334,0,0,2463
Winter,No Holiday,-4.066666666666666,33,2.3666666666666667,1946.3333333333333,-18,0.23,0,0,1476
Autumn,No Holiday,7.766666666666667,60.666666666666664,3.2,1946,0.5666666666666667,0.37333333333333335,0,0,1886
Summer,No Holiday,21.066666666666666,70.33333333333333,0.8,751.6666666666666,15.4,0.7633333333333333,0,0,2134
