Season,Holiday,Temperature,Humidity,Wind_speed,Visibility,Dew_point,Solar_radiation,Rainfall,Snowfall
Autumn,No Holiday,7.233333333333333,56.666666666666664,2.2333333333333334,1990.3333333333333,-0.9,0.5399999999999999,0,0
Summer,No Holiday,28.033333333333335,85.66666666666667,1.5666666666666667,643.3333333333334,25.3,0.5166666666666666,0.6666666666666667,0
Winter,No Holiday,-7.166666666666667,34,0.8333333333333334,1976,-20.5,0.08,0,0
Summer,No Holiday,28.133333333333333,61.666666666666664,1.0333333333333334,1985,20,0.9066666666666666,0,0
Autumn,No Holiday,7.266666666666667,63,0.6333333333333333,656.6666666666666,0.6333333333333333,0.09666666666666666,0,0
Summer,No Holiday,26.133333333333333,75.33333333333333,0.7,1543,21.333333333333332,0.64,0,0
Spring,No Holiday,10.1,73.66666666666667,1.6,644,5.4,0.7433333333333333,0,0
Spring,No Holiday,2.5666666666666664,44,4.266666666666667,1446.6666666666667,-8.533333333333333,0.5166666666666667,0,0
Autumn,No Holiday,14.6,67,1.1666666666666667,1837.6666666666667,8.366666666666667,0.5233333333333333,0,0
Spring,No Holiday,15.1,19,1.1666666666666667,1996.3333333333333,-2.1333333333333333,1.2666666666666666,0,0
Winter,No Holiday,0.06666666666666667,93.33333333333333,0.7000000000000001,203.66666666666666,-0.8333333333333334,0.05,0,0.8333333333333334
Autumn,No Holiday,1.2333333333333334,67.33333333333333,0.8,1430.6666666666667,-4.266666666666667,0.22333333333333333,0,0
Spring,No Holiday,14.733333333333333,68.33333333333333,2.2,1993,8.833333333333332,1.2433333333333334,0,0
Autumn,No Holiday,16.233333333333334,66.33333333333333,1.1333333333333333,1986,9.8,0.6,0,0
Winter,No Holiday,-3.8666666666666667,78.66666666666667,1.2666666666666666,418.3333333333333,-7,0.04,0,0
Summer,No Holiday,21.333333333333332,66,1.8666666666666667,814.6666666666666,14.6,1.0433333333333332,0,0
Autumn,No Holiday,11.833333333333334,72,0.9333333333333333,1699,6.833333333333333,0.54,0,0
Autumn,No Holiday,19.1,71,0.8333333333333334,1478.3333333333333,13.633333333333333,0.5166666666666666,0,0
Spring,No Holiday,9.333333333333334,48.333333333333336,1.5,1650.6666666666667,-1.0666666666666667,0.75,0,0
Spring,No Holiday,3.1999999999999997,81,1.7,248,0.2,0.28,0,0
